databaseID,temporalSubjectText,temporalSubjectURI
3558143,"1800-1899",
3659271,"Civil War, 1861-1865",
3659618,"1800-1899",
3659618,"19th century",
3659628,"19th century",
3659970,"Civil War, 1861-1865",
3660310,"1911-1920",
3660701,"1890-1899",
3660895,"1800-1899",
3660895,"1890-1900",
3661121,"1890-1899",
3661135,"1890-1899",
3661148,"1890-1899",
3661187,"1890-1899",
3661282,"1890-1899",
3661296,"1880-1889",
3661441,"1890-1900",
3661604,"1890-1900",
3661617,"1800-1899",
3661627,"1800-1899",
3661693,"1800-1899",
3661705,"1800-1899",
3661716,"1890-1899",
3661728,"1890-1899",
3661765,"1890-1899",
3661879,"1890-1899",
3661890,"1890-1899",
3661902,"1800-1899",
3661928,"1890-1899",
3661944,"1800-1899",
3661973,"1890-1899",
3661986,"1890-1899",
3661997,"1890-1899",
3662020,"1890-1899",
3662138,"1890-1899",
3662194,"1890-1899",
3662403,"1800-1899",
3662522,"1890-1899",
3662522,"19th century",
3663244,"1890-1899",
3663366,"1800-1899",
3663400,"1890-1899",
3663414,"1890-1899",
3664539,"1890-1899",
3664549,"1890-1899",
3664560,"1890-1899",
3664633,"1890-1899",
3665045,"1890-1899",
3665253,"1890-1899",
3665277,"1890-1899",
3665324,"1890-1899",
3666123,"1880-1889",
3666189,"1890-1899",
3666356,"1800-1899",
3666887,"1890-1899",
3666974,"1800-1899",
3667089,"1890-1899",
3667101,"1890-1899",
3667147,"1890-1899",
3667155,"1890-1899",
3667163,"1890-1899",
3667175,"1890-1899",
3667291,"1890-1899",
3667427,"1890-1899",
3667441,"1890-1899",
3667482,"1800-1899",
3668411,"1890-1920",
3668421,"1890-1920",
3668436,"1890-1899",
3668706,"1891-1900",
3669034,"1890-1899",
3669122,"1800-1899",
3669264,"1890-1899",
3669272,"1890-1899",
3669292,"1890-1899",
3669544,"1890-1899",
3669683,"1890-1899",
3669844,"1890-1899",
3669938,"19th century",
3669953,"19th century",
3669970,"19th century",
3669985,"19th century",
3670034,"1890-1899",
3670046,"1800-1899",
3670058,"1800-1899",
3670131,"1890-1899",
3670131,"1891-1900",
3670254,"19th century",
3670291,"19th century",
3670355,"1890-1899",
3670570,"1890-1899",
3670628,"1800-1899",
3670671,"1890-1899",
3670715,"1890-1899",
3670751,"19th century",
3670807,"1890-1899",
3670820,"1890-1899",
3670943,"19th century",
3670967,"19th century",
3670981,"19th century",
3671114,"1890-1899",
3671114,"1800-1899",
3671365,"1890-1899",
3671377,"1890-1899",
3671383,"1890-1899",
3671575,"1890-1899",
3671769,"1890-1899",
3671832,"1890-1899",
3671887,"1890-1899",
3672010,"1800-1899",
3672476,"1890-1899",
3672504,"1890-1899",
3672599,"19th century",
3672730,"1890-1899",
3672774,"1890-1899",
3672794,"1890-1899",
3672944,"19th century",
3672957,"1800-1899",
3673224,"1800-1899",
3673239,"19th century",
3673254,"19th century",
3673350,"1890-1899",
3674188,"1800-1899",
3674203,"1800-1899",
3674216,"1800-1899",
3674243,"1800-1899",
3674262,"1890-1899",
3674505,"1890-1899",
3674511,"1800-1899",
3674523,"1800-1899",
3674581,"1800-1899",
3674596,"1890-1899",
3674775,"1800-1899",
3674804,"1800-1899",
3674817,"1800-1899",
3674834,"To 1899",
3674991,"1890-1899",
3675152,"1890-1899",
3675152,"1890-1900",
3675231,"1890-1899",
3675242,"1890-1899",
3675257,"1890-1899",
3675416,"1800-1899",
3675444,"1890-1899",
3675500,"Civil War, 1861-1865",
3675500,"1860-1869",
3675528,"1890-1899",
3675528,"1800-1899",
3677436,"1890-1899",
3677743,"To 1899",
3677783,"1890-1899",
3677796,"1800-1899",
3677906,"1800-1899",
3677919,"1800-1899",
3677983,"1890-1899",
3677992,"1890-1899",
3678083,"1800-1899",
3678195,"1800-1899",
3678330,"1890-1899",
3678337,"1890-1899",
3678512,"1800-1899",
3678528,"1890-1899",
3678706,"1890-1899",
3678808,"19th century",
3678834,"1890-1899",
3678852,"1890-1899",
3678852,"1800-1899",
3678894,"1800-1899",
3678894,"1890-1899",
3678906,"19th century",
3679211,"1890-1899",
3679296,"1800-1899",
3679358,"1890-1899",
3679370,"1800-1899",
3679452,"1890-1899",
3679581,"1890-1899",
3679595,"1890-1899",
3679827,"1890-1899",
3681203,"1890-1899",
3681244,"1800-1899",
3681380,"1890-1899",
3681851,"1890-1899",
3682008,"1800-1899",
3682023,"1800-1899",
3682283,"19th century",
3683773,"Civil War, 1861-1865",
3683785,"1800-1899",
3684127,"1800-1899",
3684193,"1837-1901",
3684418,"19th century",
3684476,"1890-1899",
3684803,"1890-1899",
3684814,"1890-1899",
3685534,"1650-1659",
3685872,"19th century",
3685964,"19th century",
3686028,"To 1899",
3686185,"1880-1889",
3686626,"1880-1889",
3686638,"1880-1889",
3686742,"19th century",
3687095,"1890-1899",
3687110,"1890-1899",
3687124,"1890-1899",
3687136,"1890-1899",
3687149,"1890-1899",
3687161,"1890-1899",
3687175,"1890-1899",
3687192,"1890-1899",
3687201,"1890-1899",
3687265,"1890-1899",
3687277,"1800-1899",
3687391,"1880-1889",
3687555,"To 1899",
3687757,"1890-1899",
3687781,"1890-1899",
3687811,"1890-1899",
3688046,"1890-1899",
3688143,"1800-1899",
3688645,"1890-1899",
3688714,"1800-1899",
3688801,"1890-1899",
3689105,"1800-1899",
3690109,"1900-1999",
3690169,"1800-1899",
3690169,"1890-1899",
3690178,"1890-1899",
3690178,"1800-1899",
3690236,"1800-1899",
3690283,"1800-1899",
3690296,"1800-1899",
3690343,"Civil War, 1861-1865",
3690343,"1800-1899",
3690343,"1860-1869",
3690369,"1800-1899",
3690452,"1890-1899",
3690486,"1800-1899",
